2014,2015,2016,2017,2018,2019,2020,2021
98.0,84.0,69.0,91.0,95.0,90.0,188.0,140.0
88.0,99.0,307.0,312.0,298.0,332.0,114.0,636.0
297.0,292.0,325.0,86.0,93.0,630.0,313.0,
262.0,274.0,93.0,635.0,308.0,284.0,317.0,
63.0,544.0,319.0,312.0,281.0,88.0,104.0,399.0
273.0,263.0,284.0,83.0,588.0,303.0,286.0,396.0
258.0,272.0,68.0,84.0,555.0,263.0,318.0,404.0
120.0,81.0,348.0,10.0,287.0,109.0,92.0,746.0
555.0,319.0,293.0,320.0,140.0,107.0,383.0,434.0
355.0,336.0,79.0,755.0,371.0,381.0,599.0,217.0
92.0,89.0,398.0,384.0,344.0,394.0,169.0,960.0
377.0,304.0,380.0,97.0,104.0,686.0,395.0,375.0
91.0,89.0,44.0,43.0,40.0,145.0,201.0,113.0
79.0,606.0,259.0,288.0,299.0,94.0,602.0,387.0
278.0,280.0,74.0,7.0,611.0,314.0,323.0,
292.0,77.0,572.0,299.0,293.0,280.0,121.0,
547.0,288.0,263.0,320.0,80.0,79.0,587.0,408.0
241.0,280.0,84.0,551.0,281.0,280.0,278.0,142.0
266.0,257.0,64.0,556.0,310.0,246.0,305.0,121.0
93.0,585.0,288.0,477.0,314.0,119.0,589.0,387.0
333.0,293.0,345.0,78.0,150.0,628.0,444.0,540.0
346.0,110.0,658.0,424.0,319.0,381.0,284.0,237.0
105.0,676.0,397.0,341.0,365.0,97.0,741.0,461.0
300.0,316.0,76.0,96.0,684.0,337.0,362.0,394.0
211.0,182.0,808.0,877.0,959.0,265.0,117.0,791.0
605.0,310.0,265.0,325.0,89.0,24.0,355.0,350.0
237.0,294.0,82.0,622.0,295.0,304.0,312.0,
86.0,75.0,284.0,260.0,317.0,295.0,113.0,
334.0,255.0,290.0,96.0,68.0,561.0,339.0,390.0
264.0,80.0,11.0,301.0,257.0,294.0,294.0,132.0
284.0,66.0,583.0,256.0,274.0,280.0,102.0,127.0
708.0,309.0,288.0,330.0,101.0,86.0,316.0,385.0
49.0,56.0,70.0,101.0,106.0,76.0,163.0,168.0
107.0,98.0,360.0,419.0,338.0,388.0,207.0,220.0
698.0,362.0,369.0,407.0,111.0,122.0,397.0,445.0
304.0,368.0,108.0,667.0,367.0,359.0,426.0,134.0
91.0,858.0,419.0,470.0,487.0,184.0,781.0,417.0
324.0,267.0,281.0,93.0,77.0,564.0,369.0,331.0
289.0,85.0,554.0,306.0,327.0,309.0,138.0,
79.0,626.0,284.0,276.0,306.0,76.0,589.0,
239.0,282.0,274.0,93.0,564.0,331.0,290.0,397.0
60.0,77.0,609.0,289.0,273.0,272.0,42.0,701.0
78.0,82.0,277.0,250.0,272.0,301.0,91.0,736.0
322.0,294.0,283.0,84.0,71.0,660.0,307.0,394.0
465.0,516.0,78.0,658.0,744.0,565.0,659.0,234.0
97.0,683.0,346.0,394.0,329.0,102.0,912.0,886.0
342.0,330.0,400.0,88.0,104.0,697.0,460.0,427.0
319.0,102.0,647.0,341.0,354.0,317.0,198.0,133.0
867.0,441.0,320.0,407.0,102.0,101.0,402.0,362.0
272.0,251.0,77.0,68.0,639.0,392.0,332.0,336.0
73.0,61.0,297.0,287.0,286.0,340.0,112.0,
563.0,288.0,265.0,327.0,100.0,96.0,341.0,
303.0,280.0,78.0,621.0,267.0,283.0,300.0,174.0
86.0,609.0,298.0,295.0,276.0,81.0,40.0,413.0
66.0,526.0,263.0,260.0,285.0,85.0,517.0,442.0
311.0,298.0,66.0,72.0,606.0,349.0,336.0,412.0
316.0,80.0,610.0,338.0,345.0,359.0,214.0,149.0
634.0,370.0,357.0,438.0,106.0,129.0,522.0,556.0
318.0,352.0,100.0,99.0,734.0,395.0,378.0,471.0
79.0,115.0,379.0,300.0,341.0,369.0,170.0,725.0
394.0,363.0,353.0,103.0,78.0,919.0,396.0,351.0
277.0,312.0,37.0,579.0,344.0,312.0,413.0,105.0
72.0,580.0,264.0,263.0,319.0,84.0,656.0,
301.0,292.0,289.0,102.0,89.0,615.0,384.0,
244.0,73.0,66.0,346.0,285.0,277.0,295.0,147.0
506.0,313.0,277.0,297.0,77.0,94.0,556.0,389.0
562.0,290.0,270.0,287.0,80.0,93.0,318.0,419.0
297.0,297.0,77.0,552.0,335.0,324.0,345.0,153.0
65.0,83.0,330.0,326.0,352.0,390.0,196.0,890.0
333.0,342.0,376.0,127.0,107.0,749.0,556.0,481.0
323.0,381.0,104.0,691.0,381.0,320.0,435.0,152.0
82.0,671.0,311.0,322.0,377.0,90.0,715.0,336.0
323.0,305.0,73.0,81.0,736.0,483.0,359.0,400.0
294.0,108.0,658.0,308.0,309.0,336.0,162.0,103.0
566.0,312.0,283.0,296.0,78.0,91.0,337.0,
238.0,236.0,79.0,124.0,485.0,256.0,321.0,
94.0,70.0,626.0,306.0,254.0,305.0,83.0,770.0
290.0,258.0,263.0,79.0,66.0,581.0,322.0,402.0
269.0,255.0,72.0,74.0,72.0,574.0,286.0,395.0
306.0,88.0,605.0,293.0,288.0,262.0,101.0,182.0
75.0,610.0,267.0,308.0,318.0,99.0,825.0,459.0
351.0,320.0,109.0,187.0,664.0,364.0,489.0,573.0
362.0,102.0,793.0,373.0,373.0,326.0,200.0,148.0
576.0,374.0,320.0,325.0,112.0,102.0,385.0,345.0
274.0,334.0,90.0,696.0,328.0,386.0,397.0,162.0
87.0,138.0,303.0,304.0,309.0,313.0,79.0,648.0
250.0,254.0,317.0,88.0,70.0,585.0,321.0,
7.0,24.0,15.0,14.0,9.0,13.0,72.0,
